날짜,구분,카테고리,순위,단어,빈도수,감성
2026-09-19,조선일보,IT과학,1,게임,49,중립
2026-09-19,조선일보,IT과학,2,개발,37,중립
2026-09-19,조선일보,IT과학,3,환자,34,중립
2026-09-19,조선일보,IT과학,4,기술,24,중립
2026-09-19,조선일보,IT과학,5,아이폰,23,중립
2026-09-19,조선일보,IT과학,6,화면,22,중립
2026-09-19,조선일보,IT과학,7,일본,22,중립
2026-09-19,조선일보,IT과학,8,미국,22,중립
2026-09-19,조선일보,IT과학,9,대표,21,중립
2026-09-19,조선일보,IT과학,10,카카오,19,중립
2026-09-19,조선일보,IT과학,11,반도체,17,중립
2026-09-19,조선일보,IT과학,12,속도,17,중립
2026-09-19,조선일보,IT과학,13,기업,17,중립
2026-09-19,조선일보,IT과학,14,사용,17,중립
2026-09-19,조선일보,IT과학,15,시장,16,중립
2026-09-19,조선일보,IT과학,16,사업,16,중립
2026-09-19,조선일보,IT과학,17,데이터,16,중립
2026-09-19,조선일보,IT과학,18,활용,15,중립
2026-09-19,조선일보,IT과학,19,안전,15,긍정
2026-09-19,조선일보,IT과학,20,한국,14,중립
2026-09-19,조선일보,IT과학,21,하이닉스,14,중립
2026-09-19,조선일보,IT과학,22,모델,14,중립
2026-09-19,조선일보,IT과학,23,반대,13,부정
2026-09-19,조선일보,IT과학,24,자료,13,중립
2026-09-19,조선일보,IT과학,25,정보,13,중립
2026-09-19,조선일보,IT과학,26,민간,13,중립
2026-09-19,조선일보,IT과학,27,실제,13,중립
2026-09-19,조선일보,IT과학,28,방식,13,중립
2026-09-19,조선일보,IT과학,29,연구,13,중립
2026-09-19,조선일보,IT과학,30,생산,13,중립
2026-09-19,조선일보,IT과학,31,합병,12,중립
2026-09-19,조선일보,IT과학,32,중국,12,중립
2026-09-19,조선일보,IT과학,33,카메라,12,중립
2026-09-19,조선일보,IT과학,34,현장,12,중립
2026-09-19,조선일보,IT과학,35,부스,12,중립
2026-09-19,조선일보,IT과학,36,도입,12,중립
2026-09-19,조선일보,IT과학,37,듀오,11,중립
2026-09-19,조선일보,IT과학,38,제시,11,중립
2026-09-19,조선일보,IT과학,39,엔씨,11,중립
2026-09-19,조선일보,IT과학,40,공장,11,중립
2026-09-19,조선일보,IT과학,41,최대,11,긍정
2026-09-19,조선일보,IT과학,42,주주,11,중립
2026-09-19,조선일보,IT과학,43,분야,11,중립
2026-09-19,조선일보,IT과학,44,이용자,11,중립
2026-09-19,조선일보,IT과학,45,우주,11,중립
2026-09-19,조선일보,IT과학,46,전략,11,중립
2026-09-19,조선일보,IT과학,47,규제,11,부정
2026-09-19,조선일보,IT과학,48,국방,10,중립
2026-09-19,조선일보,IT과학,49,로먼,10,중립
2026-09-19,조선일보,IT과학,50,조절,10,중립
2026-09-19,조선일보,IT과학,51,투자,10,긍정
2026-09-19,조선일보,IT과학,52,행사,10,중립
2026-09-19,조선일보,IT과학,53,출시,10,긍정
2026-09-19,조선일보,IT과학,54,외부,10,중립
2026-09-19,조선일보,IT과학,55,내부,10,중립
2026-09-19,조선일보,IT과학,56,규모,10,중립
2026-09-19,조선일보,IT과학,57,자체,10,중립
2026-09-19,조선일보,IT과학,58,메시,10,중립
2026-09-19,조선일보,IT과학,59,구축,10,중립
2026-09-19,조선일보,IT과학,60,임무,10,중립
2026-09-19,조선일보,IT과학,61,캐릭터,10,중립
2026-09-19,조선일보,IT과학,62,낸드플래시,10,중립
2026-09-19,조선일보,IT과학,63,연료,10,중립
2026-09-19,조선일보,IT과학,64,도쿄,9,중립
2026-09-19,조선일보,IT과학,65,유출,9,부정
2026-09-19,조선일보,IT과학,66,솔리다임,9,중립
2026-09-19,조선일보,IT과학,67,검토,9,중립
2026-09-19,조선일보,IT과학,68,연구원,9,중립
2026-09-19,조선일보,IT과학,69,애플,9,중립
2026-09-19,조선일보,IT과학,70,프로,9,중립
2026-09-19,조선일보,IT과학,71,체험,9,중립
2026-09-19,조선일보,IT과학,72,확인,9,중립
2026-09-19,조선일보,IT과학,73,현지,9,중립
2026-09-19,조선일보,IT과학,74,백혈병,9,중립
2026-09-19,조선일보,IT과학,75,종현,9,중립
2026-09-19,조선일보,IT과학,76,연구소,9,중립
2026-09-19,조선일보,IT과학,77,과학,9,중립
2026-09-19,조선일보,IT과학,78,가능,9,중립
2026-09-19,조선일보,IT과학,79,지능,9,중립
2026-09-19,조선일보,IT과학,80,분할,8,중립
2026-09-19,조선일보,IT과학,81,네이버 클라우드,8,중립
2026-09-19,조선일보,IT과학,82,회사,8,중립
2026-09-19,조선일보,IT과학,83,낸드,8,중립
2026-09-19,조선일보,IT과학,84,제약사,8,중립
2026-09-19,조선일보,IT과학,85,서울,8,중립
2026-09-19,조선일보,IT과학,86,코너,8,중립
2026-09-19,조선일보,IT과학,87,세계,8,중립
2026-09-19,조선일보,IT과학,88,과정,8,중립
2026-09-19,조선일보,IT과학,89,입장,8,중립
2026-09-19,조선일보,IT과학,90,의료,8,중립
2026-09-19,조선일보,IT과학,91,수행,8,중립
2026-09-19,조선일보,IT과학,92,인공,8,중립
2026-09-19,조선일보,IT과학,93,공격,8,중립
2026-09-19,조선일보,IT과학,94,현대차그룹,8,중립
2026-09-19,조선일보,IT과학,95,스마일게이트,7,중립
2026-09-19,조선일보,IT과학,96,실리콘밸리,7,중립
2026-09-19,조선일보,IT과학,97,확보,7,긍정
2026-09-19,조선일보,IT과학,98,피지컬,7,중립
2026-09-19,조선일보,IT과학,99,국내,7,중립
2026-09-19,조선일보,IT과학,100,무게,7,중립
